"","Player_Id","Player_Name","MVPI_17","Batting_index_17","Bowling_index_17","All_rounder_index_17","MVPI_17_16","Batting_index_17_16","Bowling_index_17_16","All_rounder_index_17_16","MVPI_17_16_15","Batting_index_17_16_15","Bowling_index_17_16_15","All_rounder_index_17_16_15","Batting_index_17_rank","Bowling_index_17_rank","All_rounder_index_17_rank","Batting_index_17_16_rank","Bowling_index_17_16_rank","All_rounder_index_17_16_rank","Batting_index_17_16_15_rank","Bowling_index_17_16_15_rank","All_rounder_index_17_16_15_rank"
"1",2,"BB McCullum",671.52125407632,11.0854148274932,0,0.0107478984795371,1205.36330030498,9.97876035448536,0,0.00845766974092295,2091.37653551511,10.9288767619272,0,0.00910772641678924,37,117,88,55,119.5,117,47,119.5,113
"2",8,"V Kohli",614.254204766537,11.619483846961,0,0.0112657067611062,3588.66753965837,22.6292697560277,4.24896673771386,0.0226655179533352,4731.21573111095,21.4051697493786,3.30882131210532,0.0196364741669876,32,117,80,2,87,17,2,93,26
"3",14,"P Kumar",19.2919123129936,3.24797311497394,10.8920477560427,0.0123524853254088,54.013743140045,2.80378321318126,14.4245140325522,0.01420972059979,76.3628932862885,2.98105281673871,23.3294490067686,0.0151627541419538,96,53,64,110,21,60,112,21,54
"4",15,"Z Khan",20.8186230828022,1.65851885419937,12.4950612058339,0.0121659158056113,42.7126558525875,1.47302409136548,12.7942022183043,0.0117443666713329,42.9522557131979,1.46535832584314,19.3566353094758,0.0117405931463683,108,36,68,121,38,80,123,39,82
"5",17,"PA Patel",729.762940132552,9.42950634618467,0,0.00914240725295989,946.694580694359,9.50654282479248,0,0.00805743366247843,1571.19400389189,10.2578348114951,0,0.00854850458348835,54,117,104,61,119.5,123,51,119.5,118
"6",20,"MS Dhoni",540.677021329365,10.9585912251692,0,0.0106249362608199,1143.29801995456,14.0927311412994,0,0.0119445363458553,1796.65815115347,13.108058813015,0,0.0109237770838466,38,117,89,21,119.5,78,26,119.5,92
"7",21,"SK Raina",1241.03198180702,18.4162959173008,32.7639234186873,0.0455399568834349,1784.67884694117,14.4181632992024,53.7968989406586,0.0563533040009102,2387.51450382612,13.1487643599787,46.8610270804617,0.0364244545783486,9,4,2,20,1,1,25,2,1
"8",27,"Yuvraj Singh",508.075082843482,10.6773231003122,9.04382287981903,0.0179939487803694,892.726711432814,10.8014130408653,23.6614568247737,0.0285658877872963,1222.58695841999,9.37678223540437,37.4957270965423,0.0281914243310362,42,65,35,47,6,4,63,5,5
"9",29,"IK Pathan",1.16994047619048,0.912296292352514,2.61276019696076,0.00309221152957022,10.2346932979764,2.70977458627178,2.89929495044004,0.00467518796195763,10.1607300388132,2.67667448712549,3.37622322772228,0.00406546054450543,115.5,84.5,137,111,93,136,114,92,137
"10",31,"YK Pathan",231.423417679752,7.855257224083,13.7688781449255,0.019250313963853,1152.93431745899,16.5213409072277,13.4098386500331,0.0250038709232771,1843.0399916436,16.6568766040265,23.1052119336766,0.0264378235436457,64,26,24,14,32,9,12,22,6
